text	label
Newspapers quoted witnesses as saying they had seen bodies floating in the streets .	[]
Among the dead were five members of the religious Jamaat-i-Islami party who drowned while trying to remove books from a basement library .	[('ORG', 9, 9)]
They said thousands of people had been made homeless after a breach opened in the city canal , inundating residential areas .	[]
Army troops were called in to evacuate residents of low-lying areas to higher ground .	[]
Officials said the Ravi and Chenab rivers , which both flow through Punjab , were in high flood and emergency services backed by troops were on full alert .	[('LOC', 3, 3), ('LOC', 5, 5), ('LOC', 12, 12)]
Internet Startup funded to develop Java software .	[('ORG', 0, 1), ('MISC', 5, 5)]
MOUNTAIN VIEW , Calif. 1996-08-25	[('LOC', 0, 1), ('LOC', 3, 3)]
A small team of engineers from Sun Microsystems Inc. 's JavaSoft unit said Sunday they have formed a new company , dubbed Internet Startup , to build Java infrastructure software .	[('ORG', 6, 8), ('ORG', 10, 10), ('ORG', 22, 23), ('MISC', 27, 27)]
The fledgling company , established in a ground-floor office here over the last two weeks , has received venture financing from Bessemer Venture Partners of Menlo Park , Calif ..	[('ORG', 21, 23), ('LOC', 25, 26), ('LOC', 28, 28)]
David Cowan , Internet Startup founder and acting chief executive , is a general partner of Bessemer .	[('ORG', 3, 4), ('ORG', 16, 16), ('PER', 0, 1)]
The startup company 's acting chairman is Jim Bidzos , the president of RSA Data Security , a unit of Security Dynamics Technologies Inc. as well as chairman of VeriSign .	[('ORG', 13, 15), ('ORG', 20, 23), ('ORG', 29, 29), ('PER', 7, 8)]
Internet Startup , which opened its doors with about half a dozen initial employees , combines experience at JavaSoft , Apple Computer Inc. , and Oracle Systems .	[('ORG', 0, 1), ('ORG', 18, 18), ('ORG', 20, 22), ('ORG', 25, 26)]
""" Java portends dramatic changes in the way we use the Internet , "" said Hong Bui , vice president of engineering of the new company after serving as a senior engineer at JavaSoft ."	[('ORG', 33, 33), ('PER', 15, 16), ('MISC', 1, 1), ('MISC', 11, 11)]
Java is a computer programming language introduced by Sun Microsystems in mid-1995 which has immediately captured the attention of the industry for its ability to operate across virtually all computer system in a relatively secure manner .	[('ORG', 8, 9), ('MISC', 0, 0)]
Just last week , Sun Microsystems and the Silicon Valley venture capital giant Kleiner Perkins Caufield & Byers said they had completed financing of a $ 100 million fund managed by Kleiner Perkins to fund startups developing Java technologies .	[('ORG', 4, 5), ('ORG', 13, 17), ('ORG', 31, 32), ('LOC', 8, 9), ('MISC', 37, 37)]
Java has been licensed by nearly 50 organisations , ranging from Microsoft Corp. and International Business Machines Corp. to the Taiwan government .	[('ORG', 11, 12), ('ORG', 14, 17), ('LOC', 20, 20), ('MISC', 0, 0)]
Prasad Wagle , another former senior JavaSoft engineer who is among the founding engineers at Internet Startup , said the new company aims to build software infrastructure using Java to make networked applications ubiquitious .	[('ORG', 6, 6), ('ORG', 15, 16), ('PER', 0, 1), ('MISC', 28, 28)]
"One feature of the Java language is that small software programmes , known as "" applets "" because they are small applications , can be downloaded from the server computers at the centre of networks onto individual computers for use ."	[('MISC', 4, 4)]
In this model , individual computer users can always gain access to the latest programmes and do not need to store more software than they are currently using on their computers at any one time , also saving costs of memory and storage .	[]
Chris Zuleeg , a veteran of Apple and a former JavaSoft marketing manager , is vice president of marketing at Internet Startup , whose Web site is www.internetstartup.com .	[('ORG', 6, 6), ('ORG', 10, 10), ('ORG', 20, 21), ('PER', 0, 1)]
Bessemer has funded numerous Internet pioneers , including PSI Net , VeriSign and Individual .	[('ORG', 0, 0), ('ORG', 8, 9), ('ORG', 11, 11), ('ORG', 13, 13), ('MISC', 4, 4)]
GOLF - MICKELSON WINS FOURTH TITLE OF YEAR IN AKRON .	[('PER', 2, 2), ('LOC', 9, 9)]
AKRON , Ohio 1996-08-25	[('LOC', 0, 0), ('LOC', 2, 2)]
Phil Mickelson birdied two of the last three holes to win World Series of Golf by three strokes over Billy Mayfair on Sunday .	[('PER', 0, 1), ('PER', 19, 20), ('MISC', 11, 14)]
It was the fourth tournament title this year for Mickelson , who shot an even-par 70 , after being tied for the lead with Billy Mayfair with three holes to play .	[('PER', 9, 9), ('PER', 24, 25)]
Along with Mayfiar at 277 for the tournament were Steve Stricker , who had a 68 , and Duffy Waldorf , with a 66 .	[('PER', 2, 2), ('PER', 9, 10), ('PER', 18, 19)]
""" It was very hard to sleep last night because there was so much I could accomplish with this win , "" said Mickelson , who had a three-stroke lead entering the third round . """	[('PER', 23, 23)]
"This was a win I wanted very , very much . """	[]
Mickelson 's victory gave him a 10 year exemption to the PGA Tour .	[('PER', 0, 0), ('MISC', 11, 12)]
The $ 378,000 first place check brings Mickelson back to the top of the money list with $ 1,574,799 won this year .	[('PER', 7, 7)]
""" This is a major championship golf course , and for me to perform well on this style of course is a big step up for me in my career and my performance in future majors , "" he said ."	[]
Mickelson three-stroke lead was cut to two when Mayfair birdied the course 's only easy hole , the par five second hole , while Mickelson three-putted for par from 25 feet .	[('PER', 0, 0), ('PER', 8, 8), ('PER', 24, 24)]
On the back nine Mickelson began driving erratically , and poor tee shots resulted in bogeys on the , eighth , 12th and 13th holes , bringing Mickelson back to four under par , tied with Mayfair , who had parred 14 straight holes after the birdie on no.2 .	[('PER', 4, 4), ('PER', 27, 27), ('PER', 36, 36)]
Mickelson then set up a tap in birdie on the 16th , sending a wedge shot to 18 inches .	[('PER', 0, 0)]
He had another birdie on the 17th , where he his a 6-iron to six feet .	[]
Mayfair bogeyed the 17th , missing a five foot par putt , and dropped from solo second place to a three way tie for second .	[('PER', 0, 0)]
It was the second successive year in which Mayfair has finished runner up in this tournament .	[('PER', 8, 8)]
He lost to Greg Norman in sudden death last year .	[('PER', 3, 4)]
The defending champion was in contention , two behind Mickelson for much of the day , until he bogeyed the 13th and 14th holes .	[('PER', 9, 9)]
GOLF - SCORES AT THE WORLD SERIES OF GOLF .	[('MISC', 5, 8)]
AKRON , Ohio 1996-08-24	[('LOC', 0, 0), ('LOC', 2, 2)]
Scores after the final	[]
round of the $ 2.1 million NEC World Series of Golf at	[('MISC', 6, 10)]
Firestone C.C , 7149 yards , par 70 ( players U.S. unless noted ) :	[('LOC', 0, 1), ('LOC', 10, 10)]
274 Phil Mickelson 70 66 68 70	[('PER', 1, 2)]
277 Duffy Waldorf 70 70 71 66 , Steve Stricker 68 72 69 68 ,	[('PER', 1, 2), ('PER', 8, 9)]
Billy Mayfair 66 71 70 70	[('PER', 0, 1)]
278 Greg Norman ( Australia ) 70 68 69 71	[('PER', 1, 2), ('LOC', 4, 4)]
280 Alexander Cejka ( Germany ) 72 71 71 66 , Davis Love 70 74	[('PER', 1, 2), ('PER', 11, 12), ('LOC', 4, 4)]
67 69	[]
281 John Cook 70 69 71 71	[('PER', 1, 2)]
282 Corey Pavin 73 70 70 69	[('PER', 1, 2)]
283 Tom Lehman 72 69 74 68 , Fred Funk 72 70 73 68 , Mark	[('PER', 1, 2), ('PER', 8, 9), ('PER', 15, 15)]
Brooks 69 69 74 71 , Nick Faldo ( Britain ) 70 71 68 74	[('PER', 0, 0), ('PER', 6, 7), ('LOC', 9, 9)]
284 D.A. Weibring 73 69 74 68 , Tim Herron 70 67 75 72 , Mark	[('PER', 1, 2), ('PER', 8, 9), ('PER', 15, 15)]
O'Meara 73 71 69 71 , Jim Furyk 75 69 67 73 , Justin Leonard 69	[('PER', 0, 0), ('PER', 6, 7), ('PER', 13, 14)]
70 71 74	[]
285 Loren Roberts 72 73 71 69 , Hal Sutton 72 69 74 70 , Fred	[('PER', 1, 2), ('PER', 8, 9), ('PER', 15, 15)]
Couples 73 68 72 72 , Craig Stadler 73 72 67 73	[('PER', 0, 0), ('PER', 6, 7)]
286 Hidemichi Tanaka ( Japan ) 66 75 75 70 , Steve Jones 70 69	[('PER', 1, 2), ('PER', 11, 12), ('LOC', 4, 4)]
76 71 , Paul Goydos 66 75 74 71 , Ernie Els ( South Africa ) 71 71	[('PER', 3, 4), ('PER', 10, 11), ('LOC', 13, 14)]
71 73	[]
287 Costantino Rocca ( Italy ) 74 71 75 67 , Clarence Rose 72 71	[('PER', 1, 2), ('PER', 11, 12), ('LOC', 4, 4)]
72 72 , Craig Parry ( Australia ) 73 75 67 72 , Willie Wood 75 69	[('PER', 3, 4), ('PER', 13, 14), ('LOC', 6, 6)]
69 74	[]
288 Shigeki Maruyama ( Japan ) 75 71 70 72 , Anders Forsbrand (	[('PER', 1, 2), ('PER', 11, 12), ('LOC', 4, 4)]
Sweden ) 70 75 71 72	[('LOC', 0, 0)]
289 Scott Hoch 71 68 77 73	[('PER', 1, 2)]
290 Tom Watson 79 70 68 73	[('PER', 1, 2)]
292 Wayne Westner ( South Africa ) 77 68 73 74 , Sven Struver (	[('PER', 1, 2), ('PER', 12, 13), ('LOC', 4, 5)]
Germany ) 72 72 72 76	[('LOC', 0, 0)]
294 Satoshi Higashi ( Japan ) 75 72 74 73 , Scott McCarron 76 70	[('PER', 1, 2), ('PER', 11, 12), ('LOC', 4, 4)]
74 74	[]
295 Stewart Ginn ( Australia ) 73 72 77 73	[('PER', 1, 2), ('LOC', 4, 4)]
298 Steve Schneiter 77 74 76 71 , Paul Stankowski 74 75 74 75 ,	[('PER', 1, 2), ('PER', 8, 9)]
Seiki Okuda ( Japan ) 81 70 72 75	[('PER', 0, 1), ('LOC', 3, 3)]
301 Brad Bryant 73 72 77 79	[('PER', 1, 2)]
TENNIS - RESULTS AT HAMLET CUP .	[('MISC', 4, 5)]
COMMACK , New York 1996-08-24	[('LOC', 0, 0), ('LOC', 2, 3)]
Results at the Hamlet	[]
Cup tennis tournament on Sunday ( prefix number denotes	[('MISC', 0, 0)]
seedings :	[]
Finals , singles	[]
5 - Andrei Medvedev ( Ukraine ) beat Martin Damm ( Czech	[('PER', 2, 3), ('PER', 8, 9), ('LOC', 5, 5), ('LOC', 11, 11)]
Republic ) 7-5 6-3	[('LOC', 0, 0)]
Finals , doubles	[]
Luke Jensen and Murphy Jensen ( U.S. ) beat Alexander Volkov	[('PER', 0, 1), ('PER', 3, 4), ('PER', 9, 10), ('LOC', 6, 6)]
( Russia ) and Handrik Dreekmann ( Germany ) 6-3 7-6 ( 7-5 )	[('PER', 4, 5), ('LOC', 1, 1), ('LOC', 7, 7)]
TENNIS - RESULTS AT TOSHIBA CLASSIC .	[('MISC', 4, 5)]
CARLSBAD , California 1996-08-25	[('LOC', 0, 0), ('LOC', 2, 2)]
Results from the	[]
$ 450,000 Toshiba Classic tennis tournament on Sunday ( prefix	[('MISC', 2, 3)]
number denotes seeding ) :	[]
Finals :	[]
4 - Kimiko Date ( Japan ) beat 1 - Arantxa Sanchez Vicario ( Spain )	[('PER', 2, 3), ('PER', 10, 12), ('LOC', 5, 5), ('LOC', 14, 14)]
3-6 6-3 6-0 .	[]
RALLYING - LEADING POSITIONS IN 1,000 LAKES RALLY .	[('MISC', 5, 7)]
JYVASKLYA , Finland 1996-08-25	[('LOC', 0, 0), ('LOC', 2, 2)]
Leading positions on	[]
Sunday after 23 special stages in the 1,000 Lakes Rally , sixth	[('MISC', 7, 9)]
round of the world championship :	[]
1. Tommi Makinen ( Finland ) Mitsubishi Lancer three hours	[('PER', 1, 2), ('LOC', 4, 4), ('MISC', 6, 7)]
eight minutes one second	[]
2. Juha Kankkunen ( Finland ) Toyota Celica 12 seconds	[('PER', 1, 2), ('LOC', 4, 4), ('MISC', 6, 7)]
behind	[]
3. Marcus Gronholm ( Finland ) Toyota Celica 2:09	[('PER', 1, 2), ('LOC', 4, 4), ('MISC', 6, 7)]
4. Jarmo Kytolehto ( Finland ) Ford Escort 2:23	[('PER', 1, 2), ('LOC', 4, 4), ('MISC', 6, 7)]
5. Kenneth Eriksson ( Sweden ) Subaru Impreza 2:39	[('PER', 1, 2), ('LOC', 4, 4), ('MISC', 6, 7)]
6. Carlos Sainz ( Spain ) Ford Escort 3:03	[('PER', 1, 2), ('LOC', 4, 4), ('MISC', 6, 7)]
MOTOCROSS - SWEDISH 500CC GRAND PRIX RESULTS .	[('MISC', 2, 2), ('MISC', 4, 5)]
LANDSKRONA , Sweden 1996-08-25	[('LOC', 0, 0), ('LOC', 2, 2)]
Leading results in the	[]
Swedish 500cc motocross Grand Prix on Sunday :	[('MISC', 0, 0), ('MISC', 3, 4)]
First race	[]
1. Joel Smets ( Belgium ) Husaberg	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
2. Peter Johansson ( Sweden ) Husqvarna	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
3. Gert Jan Van Doorn ( Netherlands ) Honda	[('ORG', 8, 8), ('PER', 1, 4), ('LOC', 6, 6)]
4. Jacky Martens ( Belgium ) Husqvarna	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
5. Peter Dirkx ( Belgium ) KTM	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
6. Danny Theybers ( Belgium ) Honda	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
Second race	[]
1. Shayne King ( New Zealand ) KTM	[('ORG', 7, 7), ('PER', 1, 2), ('LOC', 4, 5)]
2. Martens	[('PER', 1, 1)]
3. Theybers	[('PER', 1, 1)]
4. Johan Boonen ( Belgium ) Husqvarna	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
5. Dietmar Lalcher ( Germany ) Honda	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
6. Claus Manne Nielsen ( Denmark ) KTM	[('ORG', 7, 7), ('PER', 1, 3), ('LOC', 5, 5)]
Overall on day :	[]
1. Martens 30 points	[('PER', 1, 1)]
2. Shayne King 28	[('PER', 1, 2)]
3. Smets 27	[('PER', 1, 1)]
4. Theybers 25	[('PER', 1, 1)]
5. Van Doorn 24	[('PER', 1, 2)]
6. Johansson 17	[('PER', 1, 1)]
World championship standings ( after 11 of 12 rounds ) :	[]
1. Shayne King 323 points	[('PER', 1, 2)]
2. Smets 290	[('PER', 1, 1)]
3. Johansson 236	[('PER', 1, 1)]
4. Lacher 219	[('PER', 1, 1)]
5. Darryll King ( New Zealand ) Honda 178	[('ORG', 7, 7), ('PER', 1, 2), ('LOC', 4, 5)]
6. Van Doorn 176	[('PER', 1, 2)]
MOTOCROSS - GERMAN 125CC GRAND PRIX RESULTS .	[('MISC', 2, 2), ('MISC', 4, 5)]
HOLZGERLINGEN , Germany 1996-08-25	[('LOC', 0, 0), ('LOC', 2, 2)]
Leading results in	[]
the German 125cc motocross Grand Prix on Sunday :	[('MISC', 1, 1), ('MISC', 4, 5)]
First race	[]
1. Sebastien Tortelli ( France ) Kawasaki	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
2. Bob Moore ( U.S. ) Yamaha	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
3. Luigi Seguy ( France ) TM	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
4. Andi Kanstinger ( Germany ) Honda	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
5. Nicolas Charlier ( France ) Kawasaki	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
6. Erik Camerlengo ( Italy ) Yamaha	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
Second race	[]
1. Tortelli	[('PER', 1, 1)]
2. Moore	[('PER', 1, 1)]
3. Alex Belometti ( Italy ) Honda	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
4. Frederic Vialle ( France ) Yamaha	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
5. Collin Dugmore ( South Africa ) Honda	[('ORG', 7, 7), ('PER', 1, 2), ('LOC', 4, 5)]
6. Camerlengo	[('PER', 1, 1)]
Overall on day :	[]
1. Tortelli 40 points	[('PER', 1, 1)]
2. Moore 34	[('PER', 1, 1)]
3. Seguy 24	[('PER', 1, 1)]
4. Vialle 22	[('PER', 1, 1)]
5. Camerlengo 20	[('PER', 1, 1)]
6. Belometti 19	[('PER', 1, 1)]
Final world championship standings :	[]
1. Tortelli 432 points	[('PER', 1, 1)]
2. Paul Malin ( Britain ) Yamaha 317	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
3. Vialle 293	[('PER', 1, 1)]
4. Seguy 192	[('PER', 1, 1)]
5. Michele Fanton ( Italy ) Kawasaki 160	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
6. Dugmore 152	[('PER', 1, 1)]
MOTOR RACING - LEADING PLACINGS IN POKKA 1,000 KM RACE .	[('MISC', 6, 6)]
SUZUKA , Japan 1996-08-25	[('LOC', 0, 0), ('LOC', 2, 2)]
Leading placings in	[]
Sunday 's Pokka 1,000 km motor race , seventh round of the	[('MISC', 2, 2)]
International Endurance GT championship :	[('MISC', 0, 3)]
1. Ray Belim ( Britain ) / James Weaver ( Britain ) / J.J.Lehto	[('PER', 1, 2), ('PER', 7, 8), ('LOC', 4, 4), ('LOC', 10, 10)]
( Finland ) Gulf McLaren FI GTR 171 laps - 6 hours 18 minutes	[('LOC', 1, 1), ('MISC', 3, 6)]
48.637 seconds ( average speed 158.82 kph )	[]
2. Anders Olofsson ( Sweden ) / Luciano della Noce ( Italy ) Ennea	[('PER', 1, 2), ('PER', 7, 9), ('LOC', 4, 4), ('LOC', 11, 11), ('MISC', 13, 13)]
Ferrari F40 170 laps	[('MISC', 0, 1)]
3. Andy Ballace ( Britain ) / Olivier Grouillard ( France ) Harrods	[('PER', 1, 2), ('PER', 7, 8), ('LOC', 4, 4), ('LOC', 10, 10), ('MISC', 12, 12)]
McLaren FI GTR 169	[('MISC', 0, 2)]
4. Thomas Bscher ( Germany ) / Peter Kox ( Netherlands ) West McLaren	[('PER', 1, 2), ('PER', 7, 8), ('LOC', 4, 4), ('LOC', 10, 10), ('MISC', 12, 13)]
F1 GTR 168	[('MISC', 0, 1)]
5. Fabien Giroix ( France ) / Jean-Denis Deletraz ( Switzerland )	[('PER', 1, 2), ('PER', 7, 8), ('LOC', 4, 4), ('LOC', 10, 10)]
Muller McLaren F1 GTR 167	[('MISC', 0, 3)]
6. Lindsay Owen-Jones ( Britain ) / Pierre-Henri Raphanel	[('PER', 1, 2), ('PER', 7, 8), ('LOC', 4, 4)]
( France ) / David Brabham ( Australia ) Gulf McLaren F !	[('PER', 4, 5), ('LOC', 1, 1), ('LOC', 7, 7), ('MISC', 9, 12)]
GTR	[('MISC', 0, 0)]
167	[]
7. Jean-Marc Gounon ( France ) / Eric Bernard ( France ) / Paul	[('PER', 1, 2), ('PER', 7, 8), ('PER', 13, 13), ('LOC', 4, 4), ('LOC', 10, 10)]
Belmondo ( France ) Ennea Ferrari F40 167	[('PER', 0, 0), ('LOC', 2, 2), ('MISC', 4, 6)]
8. Bruno Eichmann ( Germany ) / Gerd Ruch ( Germany ) / Ralf Kelleners	[('PER', 1, 2), ('PER', 7, 8), ('PER', 13, 14), ('LOC', 4, 4), ('LOC', 10, 10)]
( Germany ) GT2 Roock Porsche 911 164	[('LOC', 1, 1), ('MISC', 3, 6)]
9. Stephane Ortelli ( France ) / Bob Wollek ( France ) / Franz Konrad	[('PER', 1, 2), ('PER', 7, 8), ('PER', 13, 14), ('LOC', 4, 4), ('LOC', 10, 10)]
( Austria ) GT2 Konrad Porsche 911 164	[('LOC', 1, 1), ('MISC', 3, 6)]
10. Cor Euser ( Netherlands ) / H. Wada ( Japan ) / N. Furuya ( Japan ) GT2	[('PER', 1, 2), ('PER', 7, 8), ('PER', 13, 14), ('LOC', 4, 4), ('LOC', 10, 10), ('LOC', 16, 16), ('MISC', 18, 18)]
Marcos LM600 162	[('MISC', 0, 2)]
Fastest lap : Gounon , 2 minutes 03.684 seconds ( 170.680 kph )	[('PER', 3, 3)]
Championship standings after seven rounds :	[]
1. Belim , Weaver 156 points	[('PER', 1, 1), ('PER', 3, 3)]
2. Eichmann , Ruch 116	[('PER', 1, 1), ('PER', 3, 3)]
3. Bscher 112	[('PER', 1, 1)]
4. Gounon , Bernard , Belmondo 98	[('PER', 1, 1), ('PER', 3, 3), ('PER', 5, 5)]
5. Olofsson , della Noce 93	[('PER', 1, 1), ('PER', 3, 4)]
6. Owen-Jones , Raphanel 82	[('PER', 1, 1), ('PER', 3, 3)]
ATHLETICS - LEADING RESULTS AT SHEFFIELD INTERNATIONAL MEETING .	[('LOC', 5, 5)]
SHEFFIELD , England 1996-08-25	[('LOC', 0, 0), ('LOC', 2, 2)]
Leading results at an	[]
international meeting on Sunday :	[]
Women 's triple jump	[]
1. Sarka Kasparkova ( Czech Republic ) 14.84 metres	[('PER', 1, 2), ('LOC', 4, 5)]
2. Ashia Hansen ( Britain ) 14.78	[('PER', 1, 2), ('LOC', 4, 4)]
3. Rodica Matescu ( Romania ) 14.18	[('PER', 1, 2), ('LOC', 4, 4)]
Women 's 400 metres hurdles	[]
1. Deon Hemmings ( Jamaica ) 55.13 seconds	[('PER', 1, 2), ('LOC', 4, 4)]
2. Anne Marken ( Belgium ) 55.90	[('PER', 1, 2), ('LOC', 4, 4)]
3. Susan Smith ( Ireland ) 56.00	[('PER', 1, 2), ('LOC', 4, 4)]
Women 's javelin	[]
1. Isel Lopez ( Cuba ) 61.36	[('PER', 1, 2), ('LOC', 4, 4)]
2. Louise McPaul ( Australia ) 60.66	[('PER', 1, 2), ('LOC', 4, 4)]
3. Silke Renk ( Germany ) 60.66	[('PER', 1, 2), ('LOC', 4, 4)]
Women 's 200 metres	[]
1. Cathy Freeman ( Australia ) 22.53	[('PER', 1, 2), ('LOC', 4, 4)]
2. Falilat Ogunkoya ( Nigeria ) 22.58	[('PER', 1, 2), ('LOC', 4, 4)]
3. Juliet Cuthbert ( Jamaica ) 22.77	[('PER', 1, 2), ('LOC', 4, 4)]
100 metres hurdles	[]
1. Dionne Rose ( Jamaica ) 12.83	[('PER', 1, 2), ('LOC', 4, 4)]
2. Michelle Freeman ( Jamaica ) 12.91	[('PER', 1, 2), ('LOC', 4, 4)]
3. Gillian Russell ( Jamaica ) 12.95	[('PER', 1, 2), ('LOC', 4, 4)]
Women 's 800 metres	[]
1. Charmaine Crooks ( Canada ) two minutes 00.42 seconds	[('PER', 1, 2), ('LOC', 4, 4)]
2. Inez Turner ( Jamaica ) 2:01.98	[('PER', 1, 2), ('LOC', 4, 4)]
3. Margaret Crowley ( Australia ) 2:02.40	[('PER', 1, 2), ('LOC', 4, 4)]
Men 's pole vault	[]
1. Trond Bathel ( Norway ) 5.60	[('PER', 1, 2), ('LOC', 4, 4)]
2. Pat Manson ( U.S. ) 5.60	[('PER', 1, 2), ('LOC', 4, 4)]
3. Tim Lobinger ( Germany ) 5.50	[('PER', 1, 2), ('LOC', 4, 4)]
Men 's javelin	[]
1. Tom Pukstys ( U.S. ) 86.82	[('PER', 1, 2), ('LOC', 4, 4)]
2. Steve Backley ( Britain ) 82.20	[('PER', 1, 2), ('LOC', 4, 4)]
3. Nick Nieland ( Britain ) 81.12	[('PER', 1, 2), ('LOC', 4, 4)]
Women 's 400 metres	[]
1. Marcel Malone ( U.S. ) 51.50	[('PER', 1, 2), ('LOC', 4, 4)]
2. Kim Graham ( U.S. ) 52.17	[('PER', 1, 2), ('LOC', 4, 4)]
3. Phylis Smith ( Britain ) 52.53	[('PER', 1, 2), ('LOC', 4, 4)]
Men 's 200 metres	[]
1. Jeff Williams ( U.S. ) 20.45	[('PER', 1, 2), ('LOC', 4, 4)]
2. Doug Turner ( Britain ) 20.48	[('PER', 1, 2), ('LOC', 4, 4)]
3. John Regis ( Britain ) 20.63	[('PER', 1, 2), ('LOC', 4, 4)]
Men 's high jump	[]
1. Charles Austin ( U.S. ) 2.30	[('PER', 1, 2), ('LOC', 4, 4)]
2. Tim Forsyth ( Australia ) 2.30	[('PER', 1, 2), ('LOC', 4, 4)]
3. Patrik Sjoberg ( Sweden ) 2.25	[('PER', 1, 2), ('LOC', 4, 4)]
Men 's 800 metres	[]
1. Verbjorn Rodal ( Norway ) 1:44.93	[('PER', 1, 2), ('LOC', 4, 4)]
2. Benson Koech ( Kenya ) 1:45.96	[('PER', 1, 2), ('LOC', 4, 4)]
3. Vincent Malakwen ( Kenya ) 1:46.18	[('PER', 1, 2), ('LOC', 4, 4)]
Men 's mile	[]
1. William Tanui ( Kenya ) 3:54.57	[('PER', 1, 2), ('LOC', 4, 4)]
2. John Mayock ( Britain ) 3:54.60	[('PER', 1, 2), ('LOC', 4, 4)]
3. Tony Whiteman ( Britain ) 3:54.87	[('PER', 1, 2), ('LOC', 4, 4)]
Men 's 400 metres	[]
1. Roger Black ( Britain ) 45.05	[('PER', 1, 2), ('LOC', 4, 4)]
2. Mark Richardson ( Britain ) 45.38	[('PER', 1, 2), ('LOC', 4, 4)]
3. Derek Mills ( U.S. ) 45.48	[('PER', 1, 2), ('LOC', 4, 4)]
Men 's 100 metres	[]
1. Osmond Ezinwa ( Nigeria ) 10.06	[('PER', 1, 2), ('LOC', 4, 4)]
2. Ian Mackie ( Britain ) 10.17	[('PER', 1, 2), ('LOC', 4, 4)]
3. Linford Christie ( Britain ) 10.19	[('PER', 1, 2), ('LOC', 4, 4)]
MOTOR RACING - BELGIAN GRAND PRIX RESULT .	[('MISC', 3, 5)]
SPA-FRANCORCHAMPS , Belgium 1996-08-25	[('LOC', 0, 0), ('LOC', 2, 2)]
Result of	[]
Sunday 's Belgian Grand Prix motor race :	[('MISC', 2, 4)]
1. Michael Schumacher ( Germany ) Ferrari 1 hour 28 minutes	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
15.125 seconds ( average speed 208.442 kph )	[]
2. Jacques Villeneuve ( Canada ) Williams 5.602 seconds	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
behind	[]
3. Mika Hakkinen ( Finland ) McLaren 15.710	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
4. Jean Alesi ( France ) Benetton 19.125	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
5. Damon Hill ( Britain ) Williams 29.179	[('PER', 1, 2), ('PER', 6, 6), ('LOC', 4, 4)]
6. Gerhard Berger ( Austria ) Benetton 29.896	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
7. Mika Salo ( Finland ) Tyrrell 1:00.754	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
8. Ukyo Katayama ( Japan ) Tyrrell 1:40.227	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
9. Ricardo Rosset ( Brazil ) Arrows one lap	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
10. Pedro Lamy ( Portugal ) Minardi one lap	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
Did not finish :	[]
11. David Coulthard ( Britain ) McLaren 37 laps completed	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
12. Martin Brundle ( Britain ) Jordan 34	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
13. Eddie Irvine ( Britain ) Ferrari 29	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
14. Rubens Barrichello ( Brazil ) Jordan 29	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
15. Pedro Diniz ( Brazil ) Ligier 22	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
16. Jos Verstappen ( Netherland ) Arrows 11	[('ORG', 6, 6), ('PER', 1, 2), ('LOC', 4, 4)]
Did not start ( failed to complete one lap ) :	[]
Olivier Panis ( France ) Ligier	[('ORG', 5, 5), ('PER', 0, 1), ('LOC', 3, 3)]
Johnny Herbert ( Britain ) Sauber	[('ORG', 5, 5), ('PER', 0, 1), ('LOC', 3, 3)]
